City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Necochea,AR,2021-12-11 20:54:54,-38.5473,-58.7368,68.83,82,81,13.13
206,Tura,IN,2021-12-11 20:54:54,25.5198,90.2201,55.42,56,0,3.89
207,Faanui,PF,2021-12-11 20:54:55,-16.4833,-151.75,80.82,72,11,11.5
208,Ngaoundere,CM,2021-12-11 20:54:55,7.3167,13.5833,69.08,26,36,3.65
209,Leningradskiy,RU,2021-12-11 20:54:55,69.3833,178.4167,-26.57,89,45,8.19
210,Kargasok,RU,2021-12-11 20:54:56,59.0556,80.8572,0.32,97,97,8.28
211,Clyde River,CA,2021-12-11 20:54:56,70.4692,-68.5914,-3.77,84,75,10.36
212,Loukhi,RU,2021-12-11 20:54:56,66.0764,33.0381,17.96,93,100,6.38
213,Marsh Harbour,BS,2021-12-11 20:54:56,26.5412,-77.0636,77.68,70,2,10.63
214,Ulaangom,MN,2021-12-11 20:54:57,49.9811,92.0667,-1.26,92,99,4.85
215,Lebu,CL,2021-12-11 20:54:57,-37.6167,-73.65,58.24,67,1,8.99
216,Luderitz,NA,2021-12-11 20:54:58,-26.6481,15.1594,61.03,84,0,12.33
217,Antofagasta,CL,2021-12-11 20:52:40,-23.65,-70.4,67.28,65,3,8.57
218,Viedma,AR,2021-12-11 20:54:58,-40.8135,-62.9967,78.42,48,96,6.4
219,Ngama,TD,2021-12-11 20:54:58,11.7833,17.1667,78.62,17,8,9.89
220,Acapulco,MX,2021-12-11 20:50:00,16.8634,-99.8901,84.34,66,23,7.65
221,Lake Charles,US,2021-12-11 20:54:59,30.2131,-93.2044,60.78,49,90,11.5
222,Mercedes,AR,2021-12-11 20:54:59,-34.6515,-59.4307,89.85,28,39,2.91
223,Boulder,US,2021-12-11 20:51:12,40.0833,-105.3505,47.73,22,1,1.99
224,Mandera,KE,2021-12-11 20:54:59,3.9366,41.867,83.86,31,5,7.45
225,Rustenburg,ZA,2021-12-11 20:55:00,-25.6676,27.2421,73.04,61,100,6.46
226,Villa Carlos Paz,AR,2021-12-11 20:53:26,-31.4241,-64.4978,85.89,25,52,8.01
227,Port Hedland,AU,2021-12-11 20:55:00,-20.3167,118.5667,78.85,89,40,6.91
