City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Tete,MZ,84.29,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
300,Saint-Pierre,RE,76.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
301,Acapulco,MX,78.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
302,Airai,TL,73.02,broken clouds,-8.9266,125.4092,Juvinal Martin
306,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
307,Mumford,GH,80.15,broken clouds,5.2618,-0.759,Spanish Villa
308,Tuy Hoa,VN,75.0,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
310,Rocha,UY,58.14,clear sky,-34.4833,-54.3333,Hotel Arrarte
311,Leshan,CN,53.35,broken clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
312,Fethiye,TR,66.07,scattered clouds,36.6217,29.1164,Club & Hotel Letoonia
313,Kavali,IN,77.43,few clouds,14.9167,79.9833,Hotel Mourya Paradise
315,Kiunga,PG,77.41,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
316,Liling,CN,49.89,overcast clouds,27.6667,113.5,Shangri-La Hotel
320,Asyut,EG,65.53,overcast clouds,27.181,31.1837,Florence Hotel Assiut
322,Grenville,GD,80.65,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
324,Australind,AU,66.06,clear sky,-33.2667,115.7167,ON THE ESTUARY
326,Kattivakkam,IN,80.08,broken clouds,13.2167,80.3167,Euronova Freezer
327,Kuruman,ZA,70.59,overcast clouds,-27.4524,23.4325,Cornerstone Guest House
328,Hoa Binh,VN,67.89,scattered clouds,20.8133,105.3383,Hoa Dao Hotel
329,Shimoda,JP,64.76,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
330,Kudahuvadhoo,MV,79.36,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
331,Altamira,BR,74.55,overcast clouds,-3.2033,-52.2064,Requinte Hotel
333,Eldorado,BR,74.08,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
334,Ardmore,US,44.26,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
335,Tual,ID,83.61,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
336,Yarmouth,US,64.45,mist,41.7057,-70.2286,Blue Rock Resort
337,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
338,Kuah,MY,82.4,few clouds,6.3265,99.8432,Azio Hotel
339,Haapiti,PF,83.93,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
341,Lagoa,PT,60.82,overcast clouds,39.05,-27.9833,Casa Das Faias
342,Camabatela,AO,63.72,moderate rain,-8.1881,15.375,Pensão E Restaurantes
344,Praia Da Vitoria,PT,62.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
348,Labuhan,ID,83.59,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
350,Sabang,ID,82.74,broken clouds,5.8933,95.3214,Hotel Citra
351,Nayagarh,IN,67.39,few clouds,20.1333,85.1,Devjani autospa
353,Constantine,DZ,42.21,broken clouds,36.365,6.6147,Grand Hotel Cirta
354,Samarai,PG,85.77,broken clouds,-10.6167,150.6667,Nuli Sapi
355,Champerico,GT,80.29,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
358,Husavik,IS,40.03,overcast clouds,66.0449,-17.3389,Bjarnabúð
361,Kanniyakumari,IN,78.24,few clouds,8.0833,77.5667,Sparsa
362,Ulladulla,AU,67.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
